drugbank_id,drugbank_name,drugbank_inchikey,drugbank_firstblock,atc_codes,n_atc_codes,drugbank_targets,n_drugbank_targets
DB00001,Lepirudin,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00001,Lepirudin,,,B01AE02,1,F2,1
DB00002,Cetuximab,,,,0,,0
DB00002,Cetuximab,,,L01FE01,1,C1QA|C1QB|C1QC|EGFR|FCGR1A|FCGR2A|FCGR3A|FCGR3B,8
DB00003,Dornase alfa,,,R05CB13,1,DNASE1,1
DB00004,Denileukin diftitox,,,L01XX29,1,IL2RA|IL2RB,2
DB00005,Etanercept,,,L04AB01,1,C1QA|FCGR1A|FCGR2A|FCGR2B|FCGR2C|FCGR3A|FCGR3B|LTA|TNF,9
DB00006,Bivalirudin,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00006,Bivalirudin,OIRCOABEOLEUMC-GEJPAHFPSA-N,OIRCOABEOLEUMC,B01AE06,1,F2,1
DB00007,Leuprolide,,,L02AE02|L02AE51,2,GNRH1|GNRHR,2
DB00008,Peginterferon alfa-2a,,,L03AB11|L03AB61,2,IFNAR1|IFNAR2,2
DB00009,Alteplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00009,Alteplase,,,B01AD02|S01XA13,2,FGA|FGG|PLG|SERPINE1,4
DB00010,Sermorelin,,,H01AC04|V04CD03,2,GHRHR,1
DB00011,Interferon alfa-n1,,,L03AB06,1,IFNAR1|IFNAR2,2
DB00012,Darbepoetin alfa,,,B03XA02,1,EPOR,1
DB00013,Urokinase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00013,Urokinase,,,B01AD04,1,LRP2|NID1|PLAUR|PLG|SERPINA5|SERPINB2|SERPINE1|ST14,8
DB00014,Goserelin,BLCLNMBMMGCOAS-URPVMXJPSA-N,BLCLNMBMMGCOAS,L02AE03,1,GNRH1|GNRHR|LHCGR,3
DB00015,Reteplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
