map_id,hsa_id,Term_base,Term_clean,kegg_category,kegg_subcategory
map01100,hsa01100,Metabolic pathways,Metabolic pathways,Metabolism,Global and overview maps
map01110,hsa01110,Biosynthesis of secondary metabolites,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
map01120,hsa01120,Microbial metabolism in diverse environments,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
map01200,hsa01200,Carbon metabolism,Carbon metabolism,Metabolism,Global and overview maps
map01210,hsa01210,2-Oxocarboxylic acid metabolism,2-Oxocarboxylic acid metabolism,Metabolism,Global and overview maps
map01212,hsa01212,Fatty acid metabolism,Fatty acid metabolism,Metabolism,Global and overview maps
map01230,hsa01230,Biosynthesis of amino acids,Biosynthesis of amino acids,Metabolism,Global and overview maps
map01232,hsa01232,Nucleotide metabolism,Nucleotide metabolism,Metabolism,Global and overview maps
map01250,hsa01250,Biosynthesis of nucleotide sugars,Biosynthesis of nucleotide sugars,Metabolism,Global and overview maps
map01240,hsa01240,Biosynthesis of cofactors,Biosynthesis of cofactors,Metabolism,Global and overview maps
map01220,hsa01220,Degradation of aromatic compounds,Degradation of aromatic compounds,Metabolism,Global and overview maps
map01310,hsa01310,Nitrogen cycle,Nitrogen cycle,Metabolism,Global and overview maps
map01320,hsa01320,Sulfur cycle,Sulfur cycle,Metabolism,Global and overview maps
map00010,hsa00010,Glycolysis / Gluconeogenesis,Glycolysis / Gluconeogenesis,Metabolism,Carbohydrate metabolism
map00020,hsa00020,Citrate cycle (TCA cycle),Citrate cycle,Metabolism,Carbohydrate metabolism
map00030,hsa00030,Pentose phosphate pathway,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
map00040,hsa00040,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism
map00051,hsa00051,Fructose and mannose metabolism,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
map00052,hsa00052,Galactose metabolism,Galactose metabolism,Metabolism,Carbohydrate metabolism
