compound_inchikey,compound_firstblock,drugbank_inchikey,drugbank_id,compound_name,match_type,cpie_targets,n_cpie_targets,drugbank_targets,n_drugbank_targets,mean_ave_pchembl,median_ave_pchembl,n_cpie_associations,atc_codes,drugbank_targets_original,n_drugbank_targets_original
ADEBPBSSDYVVLD-UHFFFAOYSA-N,ADEBPBSSDYVVLD,ADEBPBSSDYVVLD-UHFFFAOYSA-N,DB00843,Donepezil,full_inchikey,ACHE|BACE1|CHRNE|DRD4|SIGMAR1,5,ACHE,1,7.1185873959193176,7.4916138362466205,5,N06DA02|N06DA52|N06DA53,ACHE|BCHE|GRIN1|HTR2A|IL1B|NFKB2|NOS1|TNFAIP6,8
AFSDNFLWKVMVRB-UHFFFAOYSA-N,AFSDNFLWKVMVRB,AFSDNFLWKVMVRB-UHFFFAOYSA-N,DB08846,Ellagic acid,full_inchikey,AKR1B1|APOBEC3G|APP|BAZ2B|CBFB|CSNK2A1|CSNK2A2|CSNK2B|EGFR|ELAVL3|GALNT2|GPR35|HPGD|HSPA1A|IGF1R|INSR|KDR|MET|NUAK1|POLB|POLH|POLI|POLK|RUNX1|SLC22A6|SMAD3|SPHK1|SRC|TEK,29,CSNK2A1|HSPA1A,2,6.547312147853737,6.533323357425862,29,,CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|HSPA1A|HSPA1B|PRKACA|PRKCA|PRKCB|SQLE|SYK,20
AHOUBRCZNHFOSL-YOEHRIQHSA-N,AHOUBRCZNHFOSL,AHOUBRCZNHFOSL-YOEHRIQHSA-N,DB00715,Paroxetine,full_inchikey,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CYP2D6|MPO|SLC6A2|SLC6A3|SLC6A4|TACR1,11,CHRM1|SLC6A2|SLC6A4,3,6.9324359326587945,6.6118799868079945,11,N06AB05,ADRA1A|ADRA2A|ADRB1|CHRM1|DRD1|DRD2|HRH1|HTR1A|HTR2A|HTR2B|SLC6A2|SLC6A4,12
AIONOLUJZLIMTK-AWEZNQCLSA-N,AIONOLUJZLIMTK,AIONOLUJZLIMTK-AWEZNQCLSA-N,DB01094,Hesperetin,full_inchikey,CA12|CA4|CA7|CYP1B1|DPP4|HDAC6|MAPK14|XDH,8,,0,6.874344411262195,6.4466759330381,8,,DGAT1|MTTP|SHBG|SOAT1|SOAT2,5
AOJJSUZBOXZQNB-TZSSRYMLSA-N,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N,DB00997,Doxorubicin,full_inchikey,AURKA|DHCR7|EBP|EPAS1|ESR1|HIF1A|IFNB1|NSD2|TOP2A|YWHAG,10,TOP2A,1,6.628777774355082,6.478821646959718,10,L01DB01,NOLC1|TERT|TOP1|TOP2A|TOP2B,5
AQHHHDLHHXJYJD-UHFFFAOYSA-N,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N,DB00571,Propranolol,full_inchikey,ADRB1|ADRB2|ADRB3|HTR1A|SLC6A4,5,ADRB1|ADRB2|ADRB3|HTR1A,4,7.443955672335152,7.498158507001757,5,C07AA05|C07BA05|C07FX01,ADRB1|ADRB2|ADRB3|HTR1A|HTR1B,5
AURFZBICLPNKBZ-SYBPFIFISA-N,AURFZBICLPNKBZ,AURFZBICLPNKBZ-SYBPFIFISA-N,DB11859,Brexanolone,full_inchikey,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,16,GABRA1|GABRB2|GABRD|GABRG2|GABRG3,5,7.296815240387395,7.134960673846167,16,N06AX29,GABRA1|GABRB2|GABRD|GABRG2|GABRG3,5
BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV,BCGWQEUPMDMJNV-UHFFFAOYSA-N,DB00458,Imipramine,full_inchikey,ADORA3|ADRA1A|ADRA2B|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CNR1|DRD2|DRD3|HRH1|HRH2|HTR2A|HTR2C|HTR6|HTR7|KCNH1|SLC22A2|SLC6A2|SLC6A4,21,ADRA1A|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A|HTR2C|HTR6|HTR7|KCNH1|SLC6A2|SLC6A4,15,6.98152573726724,6.835281801993852,21,N06AA02,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|ORM2|SLC6A2|SLC6A3|SLC6A4,24
BNRNXUUZRGQAQC-UHFFFAOYSA-N,BNRNXUUZRGQAQC,BNRNXUUZRGQAQC-UHFFFAOYSA-N,DB00203,Sildenafil,full_inchikey,ADORA2A|PDE1A|PDE1B|PDE1C|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|SLCO1B3,12,PDE5A|PDE6G|PDE6H,3,7.388939494446567,7.8207200460194795,12,G01AE10|G04BE03,CD274|ODC1|PDE5A|PDE6G|PDE6H|SERPING1,6
BTCSSZJGUNDROE-UHFFFAOYSA-N,BTCSSZJGUNDROE,BTCSSZJGUNDROE-UHFFFAOYSA-N,DB02530,gamma-Aminobutyric acid,full_inchikey,GABBR1|GABBR2|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRR1|GABRR3|GP6,20,GABBR1|GABBR2|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,7,6.593054223671503,6.677722747296174,20,,GABBR1|GABBR2|GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2|GATM|ITGA4|SLC6A1|SLC6A11,12
