input_id,DB_ID,drug_name,isomeric_smiles,inchi,inchikey,iupac_name,entrez,hgnc_symbol,description,gene_type,pchembl_count,ave_pchembl,src_count,pubchem,chembl,bindingdb,stitch,ctd,dtc,otp,drugcentral,drugbank
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,760,CA2,carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373],protein_coding,5,5.830341833783447,4,1,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,761,CA3,carbonic anhydrase 3 [Source:HGNC Symbol;Acc:HGNC:1374],protein_coding,2,5.569318117920506,4,1,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,762,CA4,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375],protein_coding,5,5.582411156542298,4,1,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,768,CA9,carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383],protein_coding,2,5.057758663924915,4,1,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,771,CA12,carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371],protein_coding,2,5.038106086327222,4,1,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,4780,NFE2L2,NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782],protein_coding,1,3.0,1,1,0,0,0,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,6256,RXRA,retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477],protein_coding,2,4.926768721926734,1,1,0,0,0,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1557,CYP2C19,cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621],protein_coding,1,4.113596706542947,1,1,0,0,0,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596],protein_coding,1,4.560029756289291,1,1,0,0,0,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,759,CA1,carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368],protein_coding,6,5.621427130255042,3,0,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,23632,CA14,carbonic anhydrase 14 [Source:HGNC Symbol;Acc:HGNC:1372],protein_coding,2,4.939651079823195,3,0,1,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,763,CA5A,carbonic anhydrase 5A [Source:HGNC Symbol;Acc:HGNC:1377],protein_coding,1,3.661543506395395,2,0,0,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,11238,CA5B,carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378],protein_coding,2,3.283115083037567,2,0,0,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,766,CA7,carbonic anhydrase 7 [Source:HGNC Symbol;Acc:HGNC:1381],protein_coding,2,3.224885823472453,2,0,0,1,0,0,1,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,10942,PRSS21,serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,43847,KLK14,kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,64063,PRSS22,serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,23430,TPSD1,tryptase delta 1 [Source:HGNC Symbol;Acc:HGNC:14118],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,49,ACR,acrosin [Source:HGNC Symbol;Acc:HGNC:126],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1511,CTSG,cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,2999,GZMH,granzyme H [Source:HGNC Symbol;Acc:HGNC:4710],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3002,GZMB,granzyme B [Source:HGNC Symbol;Acc:HGNC:4709],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,2158,F9,coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,221191,PRSS54,serine protease 54 [Source:HGNC Symbol;Acc:HGNC:26336],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,27161,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,5327,PLAT,"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]",protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3082,HGF,hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3003,GZMK,granzyme K [Source:HGNC Symbol;Acc:HGNC:4711],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,566,AZU1,azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,5624,PROC,"protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]",protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,5657,PRTN3,proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,25823,TPSG1,tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,43849,KLK12,kallikrein related peptidase 12 [Source:HGNC Symbol;Acc:HGNC:6360],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1215,CMA1,chymase 1 [Source:HGNC Symbol;Acc:HGNC:2097],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,2161,F12,coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,10403,NDC80,NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3249,HPN,hepsin [Source:HGNC Symbol;Acc:HGNC:5155],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1991,ELANE,"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]",protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3004,GZMM,granzyme M [Source:HGNC Symbol;Acc:HGNC:4712],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3818,KLKB1,kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,57510,XPO5,exportin 5 [Source:HGNC Symbol;Acc:HGNC:17675],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,51279,C1RL,complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,146547,PRSS36,serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,83540,NUF2,NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,10699,CORIN,"corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]",protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3001,GZMA,granzyme A [Source:HGNC Symbol;Acc:HGNC:4708],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3026,HABP2,hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,6768,ST14,ST14 transmembrane serine protease matriptase [Source:HGNC Symbol;Acc:HGNC:11344],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,339105,PRSS53,serine protease 53 [Source:HGNC Symbol;Acc:HGNC:34407],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,9407,TMPRSS11D,transmembrane serine protease 11D [Source:HGNC Symbol;Acc:HGNC:24059],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,5651,TMPRSS15,transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,10136,CELA3A,chymotrypsin like elastase 3A [Source:HGNC Symbol;Acc:HGNC:15944],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,1990,CELA1,chymotrypsin like elastase 1 [Source:HGNC Symbol;Acc:HGNC:3308],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,260429,PRSS33,serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,5648,MASP1,MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,8492,PRSS12,serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,136242,PRSS37,serine protease 37 [Source:HGNC Symbol;Acc:HGNC:29211],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,717,C2,complement C2 [Source:HGNC Symbol;Acc:HGNC:1248],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,80975,TMPRSS5,transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
996,DB03255,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,3816,KLK1,kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357],protein_coding,0,Sources do not provide activity data,1,0,0,0,1,0,0,0,0,0
