Unnamed: 0,ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1,2,Histidine decarboxylase,HDC,32109.0,X54297,P19113,DCHS_HUMAN,4E1O,,HDC,HGNC:4855,Humans,DB00114; DB00117
2,3,"Glutaminase liver isoform, mitochondrial",GLS2,6650606.0,AF110330,Q9UI32,GLSL_HUMAN,4BQM,,GLS2,HGNC:29570,Humans,DB00142
3,4,Coagulation factor XIII A chain,F13A1,182309.0,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,,F13A1,HGNC:3531,Humans,DB02340
4,5,"Nitric oxide synthase, inducible",NOS2,292242.0,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,,NOS2A,HGNC:7873,Humans,DB00125; DB00155; DB00244; DB01017; DB01110; DB01234; DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02462; DB02644; DB03100; DB03144; DB03366; DB03449; DB03953; DB04400; DB04534; DB05214; DB05252; DB05383; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB08814; DB09237; DB11327; DB14649
5,6,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462.0,L11708,P37059,DHB2_HUMAN,,,HSD17B2,HGNC:5211,Humans,DB00157; DB13952; DB13953; DB13954; DB13955; DB13956
6,8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520.0,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,,NNT,HGNC:7863,Humans,DB00157; DB01763; DB03461; DB09092
7,9,Alcohol dehydrogenase class-3,ADH5,178134.0,M30471,P11766,ADHX_HUMAN,1M6H; 1M6W; 1MA0; 1MC5; 1MP0; 1TEH; 2FZE; 2FZW; 3QJ5,,ADH5,HGNC:253,Humans,DB00157; DB03017; DB03704; DB04153
8,10,"Aminomethyltransferase, mitochondrial",AMT,391721.0,D13811,P48728,GCST_HUMAN,1WSR; 1WSV,,AMT,HGNC:473,Humans,DB00116; DB00157; DB04789
9,11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839.0,U07681,P50213,IDH3A_HUMAN,,,IDH3A,HGNC:5384,Humans,DB00157; DB06757; DB09092; DB09130
10,12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888.0,AF129133,Q9P0X4,CAC1I_HUMAN,,,CACNA1I,HGNC:1396,Humans,DB00381; DB00568; DB00617; DB00622; DB00909; DB01118; DB01388; DB04841; DB06152; DB06712; DB09061; DB09235; DB09238; DB14011
11,13,Adenosine receptor A1,ADORA1,256155.0,S45235,P30542,AA1R_HUMAN,,,ADORA1,HGNC:262,Humans,DB00193; DB00201; DB00277; DB00555; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB01412; DB04954; DB06471; DB09061; DB11757; DB12569; DB12670
12,14,Tyrosine-protein kinase ABL1,ABL1,28237.0,X16416,P00519,ABL1_HUMAN,1AB2; 1ABL; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY,,ABL1,HGNC:76,Humans,DB00171; DB00619; DB01254; DB03878; DB04868; DB05184; DB06616; DB07831; DB08043; DB08231; DB08339; DB08350; DB08583; DB08896; DB08901; DB12010; DB12267; DB12323; DB12597; DB14989
13,15,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318.0,X06948,P12319,FCERA_HUMAN,1ALS; 1ALT; 1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q,,FCER1A,HGNC:3609,Humans,DB00895
14,17,Prostaglandin G/H synthase 1,PTGS1,387018.0,M31822,P23219,PGH1_HUMAN,,,PTGS1,HGNC:9604,Humans,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01399; DB01401; DB01419; DB01435; DB01600; DB01837; DB01892; DB02047; DB02110; DB02198; DB02266; DB02379; DB02709; DB02773; DB03667; DB03752; DB03753; DB03783; DB04552; DB04557; DB04817; DB06725; DB06736; DB06802; DB07981; DB07983; DB07984; DB08814; DB09061; DB09212; DB09213; DB09214; DB09215; DB09216; DB09288; DB09295; DB11071; DB11079; DB11201; DB11323; DB12445; DB13346; DB13501; DB13783; DB14011
15,18,Beta-adrenergic receptor kinase 2,ADRBK2,312395.0,X69117,P35626,ARBK2_HUMAN,,,ADRBK2,HGNC:290,Humans,DB00171
17,20,D(1A) dopamine receptor,DRD1,30397.0,X55760,P21728,DRD1_HUMAN,1OZ5,,DRD1,HGNC:3020,Humans,DB00246; DB00248; DB00334; DB00353; DB00363; DB00397; DB00408; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00800; DB00805; DB00850; DB00875; DB00988; DB01038; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01614; DB01621; DB01622; DB01623; DB01624; DB04946; DB05271; DB06077; DB06216; DB09286; DB12093; DB12890; DB14185
19,23,Vascular endothelial growth factor receptor 3,FLT4,297050.0,X69878,P35916,VGFR3_HUMAN,4BSJ; 4BSK,,FLT4,HGNC:3767,Humans,DB00398; DB01268; DB04879; DB05075; DB05932; DB06080; DB06589; DB06626; DB08896; DB09078; DB09079; DB11679; DB11800; DB12010; DB15685
20,24,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271.0,X87159,P51168,SCNNB_HUMAN,,,SCNN1B,HGNC:10600,Humans,DB00384; DB00594
21,25,Collagen alpha-1(I) chain,COL1A1,1418928.0,Z74615,P02452,CO1A1_HUMAN,1Q7D; 2LLP; 3EJH; 3GXE,,COL1A1,HGNC:2197,Humans,DB04866
22,26,Tubulin beta-1 chain,TUBB1,11230445.0,AJ292757,Q9H4B7,TBB1_HUMAN,,,TUBB1,HGNC:16257,Humans,DB00309; DB01229; DB01248; DB01873; DB03010; DB05147; DB06042; DB06772; DB08871; DB12334; DB12695
23,27,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197.0,X99726,P56181,NDUV3_HUMAN,,,NDUFV3,HGNC:7719,Humans,DB00157; DB09270
24,28,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,3983103.0,AF097441,O95363,SYFM_HUMAN,3CMQ; 3HFV; 3TEG; 3TUP,,FARS2,HGNC:21062,Humans,DB00120
25,29,Vascular endothelial growth factor receptor 1,FLT1,31432.0,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7,,FLT1,HGNC:3763,Humans,DB00398; DB01268; DB04879; DB05075; DB05913; DB05932; DB06080; DB06589; DB06626; DB07288; DB08896; DB09078; DB09079; DB09221; DB11679; DB11800; DB12010; DB15685
26,30,Cystine/glutamate transporter,SLC7A11,5668545.0,AB026891,Q9UPY5,XCT_HUMAN,,,SLC7A11,HGNC:11059,Humans,DB00138; DB00142; DB00740; DB00795; DB06151; DB11590
